algo,seed_label,source,env_step,reward
td3,seed0,ours,281000,-101.0
td3,seed0,ours,282000,-100.65
td3,seed0,ours,283000,-100.25
td3,seed0,ours,284000,-99.84
td3,seed0,ours,285000,-99.71
td3,seed0,ours,286000,-99.65
td3,seed0,ours,287000,-99.43
td3,seed0,ours,288000,-99.27
td3,seed0,ours,289000,-98.28
td3,seed0,ours,290000,-97.2
td3,seed0,ours,291000,-96.23
td3,seed0,ours,292000,-96.31
td3,seed0,ours,293000,-95.38
td3,seed0,ours,294000,-94.46
td3,seed0,ours,295000,-93.86
td3,seed0,ours,296000,-92.54
td3,seed0,ours,297000,-91.54
td3,seed0,ours,298000,-91.7
td3,seed0,ours,299000,-90.34
td3,seed0,ours,300000,-90.03
td3,seed0,ours,301000,-89.98
td3,seed0,ours,302000,-89.27
td3,seed0,ours,303000,-88.94
td3,seed0,ours,304000,-88.4
td3,seed0,ours,305000,-87.52
td3,seed0,ours,306000,-87.38
td3,seed0,ours,307000,-85.56
td3,seed0,ours,308000,-83.66
td3,seed0,ours,309000,-83.46
td3,seed0,ours,310000,-81.57
td3,seed0,ours,311000,-81.05
td3,seed0,ours,312000,-80.14
td3,seed0,ours,313000,-78.07
td3,seed0,ours,314000,-77.3
td3,seed0,ours,315000,-77.08
td3,seed0,ours,316000,-75.55
td3,seed0,ours,317000,-73.62
td3,seed0,ours,318000,-71.59
td3,seed0,ours,319000,-71.8
td3,seed0,ours,320000,-69.6
td3,seed0,ours,321000,-67.36
td3,seed0,ours,322000,-64.76
td3,seed0,ours,323000,-64.43
td3,seed0,ours,324000,-64.45
td3,seed0,ours,325000,-64.15
td3,seed0,ours,326000,-63.61
td3,seed0,ours,327000,-63.51
td3,seed0,ours,328000,-62.43
td3,seed0,ours,329000,-59.97
td3,seed0,ours,330000,-57.07
td3,seed0,ours,331000,-53.81
td3,seed0,ours,332000,-52.52
td3,seed0,ours,333000,-52.19
td3,seed0,ours,334000,-48.95
td3,seed0,ours,335000,-46.05
td3,seed0,ours,336000,-46.2
td3,seed0,ours,337000,-45.45
td3,seed0,ours,338000,-43.49
td3,seed0,ours,339000,-42.79
td3,seed0,ours,340000,-42.86
td3,seed0,ours,341000,-40.91
td3,seed0,ours,342000,-38.12
td3,seed0,ours,343000,-34.81
td3,seed0,ours,344000,-32.63
td3,seed0,ours,345000,-32.39
td3,seed0,ours,346000,-31.32
td3,seed0,ours,347000,-31.19
td3,seed0,ours,348000,-27.37
td3,seed0,ours,349000,-24.76
td3,seed0,ours,350000,-24.59
td3,seed0,ours,351000,-23.12
td3,seed0,ours,352000,-21.16
td3,seed0,ours,353000,-20.45
td3,seed0,ours,354000,-17.59
td3,seed0,ours,355000,-14.11
td3,seed0,ours,356000,-13.93
td3,seed0,ours,357000,-10.26
td3,seed0,ours,358000,-6.48
td3,seed0,ours,359000,-2.09
td3,seed0,ours,360000,2.34
td3,seed0,ours,361000,4.75
td3,seed0,ours,362000,6.91
td3,seed0,ours,363000,10.66
td3,seed0,ours,364000,14.0
td3,seed0,ours,365000,17.46
td3,seed0,ours,366000,21.31
td3,seed0,ours,367000,25.22
td3,seed0,ours,368000,29.13
td3,seed0,ours,369000,32.23
td3,seed0,ours,370000,36.16
td3,seed0,ours,371000,39.98
td3,seed0,ours,372000,44.04
td3,seed0,ours,373000,47.76
td3,seed0,ours,374000,48.39
td3,seed0,ours,375000,52.22
td3,seed0,ours,376000,56.2
td3,seed0,ours,377000,57.69
td3,seed0,ours,378000,61.28
td3,seed0,ours,379000,64.24
td3,seed0,ours,380000,63.25
td3,seed0,ours,381000,62.44
td3,seed0,ours,382000,62.15
td3,seed0,ours,383000,61.87
td3,seed0,ours,384000,61.67
td3,seed0,ours,385000,61.51
td3,seed0,ours,386000,61.18
td3,seed0,ours,387000,63.27
td3,seed0,ours,388000,62.93
td3,seed0,ours,389000,61.71
td3,seed0,ours,390000,61.23
td3,seed0,ours,391000,60.91
td3,seed0,ours,392000,64.56
td3,seed0,ours,393000,66.17
td3,seed0,ours,394000,66.54
td3,seed0,ours,395000,66.12
td3,seed0,ours,396000,67.4
td3,seed0,ours,397000,70.23
td3,seed0,ours,398000,73.79
td3,seed0,ours,399000,76.32
td3,seed0,ours,400000,80.11
td3,seed0,ours,401000,83.82
td3,seed0,ours,402000,87.11
td3,seed0,ours,403000,90.88
td3,seed0,ours,404000,91.12
td3,seed0,ours,405000,94.22
td3,seed0,ours,406000,97.96
td3,seed0,ours,407000,100.22
td3,seed0,ours,408000,102.39
td3,seed0,ours,409000,106.08
td3,seed0,ours,410000,108.14
td3,seed0,ours,411000,111.57
td3,seed0,ours,412000,114.55
td3,seed0,ours,413000,116.48
td3,seed0,ours,414000,119.85
td3,seed0,ours,415000,123.53
td3,seed0,ours,416000,125.92
td3,seed0,ours,417000,127.96
td3,seed0,ours,418000,129.87
td3,seed0,ours,419000,133.98
td3,seed0,ours,420000,135.79
td3,seed0,ours,421000,137.54
td3,seed0,ours,422000,136.01
td3,seed0,ours,423000,139.65
td3,seed0,ours,424000,143.8
td3,seed0,ours,425000,145.31
td3,seed0,ours,426000,148.81
td3,seed0,ours,427000,152.95
td3,seed0,ours,428000,156.33
td3,seed0,ours,429000,158.26
td3,seed0,ours,430000,159.78
td3,seed0,ours,431000,160.95
td3,seed0,ours,432000,163.92
td3,seed0,ours,433000,167.56
td3,seed0,ours,434000,168.61
td3,seed0,ours,435000,169.66
td3,seed0,ours,436000,173.47
td3,seed0,ours,437000,177.12
td3,seed0,ours,438000,178.28
td3,seed0,ours,439000,180.7
td3,seed0,ours,440000,184.67
td3,seed0,ours,441000,185.92
td3,seed0,ours,442000,186.32
td3,seed0,ours,443000,186.9
td3,seed0,ours,444000,187.72
td3,seed0,ours,445000,190.44
td3,seed0,ours,446000,192.85
td3,seed0,ours,447000,196.5
td3,seed0,ours,448000,194.59
td3,seed0,ours,449000,196.05
td3,seed0,ours,450000,199.31
td3,seed0,ours,451000,201.53
td3,seed0,ours,452000,204.23
td3,seed0,ours,453000,207.52
td3,seed0,ours,454000,209.01
td3,seed0,ours,455000,209.22
td3,seed0,ours,456000,212.77
td3,seed0,ours,457000,212.98
td3,seed0,ours,458000,213.06
td3,seed0,ours,459000,213.13
td3,seed0,ours,460000,213.37
td3,seed0,ours,461000,214.51
td3,seed0,ours,462000,216.38
td3,seed0,ours,463000,216.67
td3,seed0,ours,464000,217.3
td3,seed0,ours,465000,217.85
td3,seed0,ours,466000,218.15
td3,seed0,ours,467000,215.54
td3,seed0,ours,468000,215.77
td3,seed0,ours,469000,213.8
td3,seed0,ours,470000,213.99
td3,seed0,ours,471000,214.27
td3,seed0,ours,472000,214.51
td3,seed0,ours,473000,214.65
td3,seed0,ours,474000,217.71
td3,seed0,ours,475000,217.82
td3,seed0,ours,476000,217.99
td3,seed0,ours,477000,220.42
td3,seed0,ours,478000,220.57
td3,seed0,ours,479000,220.72
td3,seed0,ours,480000,224.79
td3,seed0,ours,481000,228.9
td3,seed0,ours,482000,230.07
td3,seed0,ours,483000,234.24
td3,seed0,ours,484000,238.42
td3,seed0,ours,485000,242.51
td3,seed0,ours,486000,246.66
td3,seed0,ours,487000,248.17
td3,seed0,ours,488000,252.28
td3,seed0,ours,489000,256.24
td3,seed0,ours,490000,259.37
td3,seed0,ours,491000,261.37
td3,seed0,ours,492000,261.54
td3,seed0,ours,493000,262.81
td3,seed0,ours,494000,265.37
td3,seed0,ours,495000,268.94
td3,seed0,ours,496000,270.49
td3,seed0,ours,497000,268.38
td3,seed0,ours,498000,268.64
td3,seed0,ours,499000,268.79
td3,seed0,ours,500000,268.96
td3,seed0,ours,501000,269.1
td3,seed0,ours,502000,269.23
td3,seed0,ours,503000,269.39
td3,seed0,ours,504000,272.82
td3,seed0,ours,505000,272.93
td3,seed0,ours,506000,273.08
td3,seed0,ours,507000,273.19
td3,seed0,ours,508000,273.31
td3,seed0,ours,509000,273.48
td3,seed0,ours,510000,273.65
td3,seed0,ours,511000,273.78
td3,seed0,ours,512000,273.91
td3,seed0,ours,513000,274.04
td3,seed0,ours,514000,274.17
td3,seed0,ours,515000,274.31
td3,seed0,ours,516000,274.45
td3,seed0,ours,517000,274.57
td3,seed0,ours,518000,274.64
td3,seed0,ours,519000,274.74
td3,seed0,ours,520000,274.86
td3,seed0,ours,521000,275.0
td3,seed0,ours,522000,278.06
td3,seed0,ours,523000,278.18
td3,seed0,ours,524000,278.29
td3,seed0,ours,525000,280.52
td3,seed0,ours,526000,280.62
td3,seed0,ours,527000,280.74
td3,seed0,ours,528000,280.81
td3,seed0,ours,529000,280.93
td3,seed0,ours,530000,281.08
td3,seed0,ours,531000,281.19
td3,seed0,ours,532000,281.33
td3,seed0,ours,533000,281.46
td3,seed0,ours,534000,281.54
td3,seed0,ours,535000,281.6
td3,seed0,ours,536000,281.68
td3,seed0,ours,537000,281.79
td3,seed0,ours,538000,281.86
td3,seed0,ours,539000,282.02
td3,seed0,ours,540000,282.17
td3,seed0,ours,541000,282.32
td3,seed0,ours,542000,282.43
td3,seed0,ours,543000,280.84
td3,seed0,ours,544000,277.35
td3,seed0,ours,545000,277.46
td3,seed0,ours,546000,275.69
td3,seed0,ours,547000,275.78
td3,seed0,ours,548000,278.04
td3,seed0,ours,549000,278.17
td3,seed0,ours,550000,278.29
td3,seed0,ours,551000,276.37
td3,seed0,ours,552000,276.47
td3,seed0,ours,553000,276.58
td3,seed0,ours,554000,276.67
td3,seed0,ours,555000,276.79
td3,seed0,ours,556000,276.89
td3,seed0,ours,557000,276.99
td3,seed0,ours,558000,277.14
td3,seed0,ours,559000,277.28
td3,seed0,ours,560000,277.37
td3,seed0,ours,561000,277.46
td3,seed0,ours,562000,277.54
td3,seed0,ours,563000,277.65
td3,seed0,ours,564000,276.22
td3,seed0,ours,565000,276.27
td3,seed0,ours,566000,275.01
td3,seed0,ours,567000,277.86
td3,seed0,ours,568000,277.9
td3,seed0,ours,569000,280.55
td3,seed0,ours,570000,277.89
td3,seed0,ours,571000,277.92
td3,seed0,ours,572000,277.96
td3,seed0,ours,573000,278.05
td3,seed0,ours,574000,278.14
td3,seed0,ours,575000,278.19
td3,seed0,ours,576000,278.2
td3,seed0,ours,577000,278.23
td3,seed0,ours,578000,278.31
td3,seed0,ours,579000,278.36
td3,seed0,ours,580000,278.49
td3,seed0,ours,581000,278.58
td3,seed0,ours,582000,281.63
td3,seed0,ours,583000,281.7
td3,seed0,ours,584000,281.72
td3,seed0,ours,585000,281.76
td3,seed0,ours,586000,281.86
td3,seed0,ours,587000,281.94
td3,seed0,ours,588000,282.04
td3,seed0,ours,589000,282.22
td3,seed0,ours,590000,282.33
td3,seed0,ours,591000,283.55
td3,seed0,ours,592000,283.63
td3,seed0,ours,593000,283.67
td3,seed0,ours,594000,283.72
td3,seed0,ours,595000,283.79
td3,seed0,ours,596000,283.87
td3,seed0,ours,597000,286.31
td3,seed0,ours,598000,286.42
td3,seed0,ours,599000,286.52
td3,seed0,ours,600000,286.58
td3,seed0,ours,601000,286.62
td3,seed0,ours,602000,286.66
td3,seed0,ours,603000,286.71
td3,seed0,ours,604000,286.75
td3,seed0,ours,605000,286.78
td3,seed0,ours,606000,284.37
td3,seed0,ours,607000,282.89
td3,seed0,ours,608000,282.92
td3,seed0,ours,609000,282.95
